,subject_age,subject_race,subject_sex,arrest_made,citation_issued,warning_issued,contraband_found,search_person,search_vehicle,reason_for_search,reason_for_stop
2318324,20.0,black,male,True,False,False,False,True,True,incarrest,------(c)
2318349,34.0,white,male,True,False,False,False,True,True,incarrest,------(a-)
2318350,31.0,white,male,True,False,False,True,True,True,other,------(a)
2318361,21.0,black,male,True,False,False,False,True,True,incarrest,------(a)
2318374,30.0,hispanic,male,True,False,False,False,True,True,incarrest,------(a)
2318375,24.0,black,male,True,False,False,False,True,True,incarrest,------(b-)
2318383,26.0,white,male,True,False,False,False,True,True,exigent,------(c)
2318384,20.0,black,male,True,False,False,False,True,True,other,------(h-)
2318393,23.0,white,male,True,False,False,False,True,True,incarrest,------(g)
2318418,55.0,white,female,True,False,False,False,True,True,incarrest,------(a)
2318419,30.0,black,male,True,False,False,False,True,True,incarrest,------(a)
2318428,31.0,black,female,True,False,False,False,False,True,incarrest,------(a)
2318443,37.0,hispanic,male,True,False,False,False,True,True,incarrest,------(i-)
2318444,21.0,white,male,True,False,False,False,True,True,incarrest,------(b)
2318471,20.0,white,male,True,False,False,False,True,True,k-,------(a-)
2318491,30.0,white,male,True,False,False,False,True,True,cons,------
2318524,29.0,white,male,True,False,False,False,True,True,other,------(a-)
2318525,21.0,white,male,True,False,False,False,True,True,incarrest,------(a)
2318534,18.0,white,male,True,False,False,False,True,True,incarrest,------(h)
2318547,22.0,white,male,True,False,False,True,True,True,other,------(a)
2318548,40.0,hispanic,male,True,False,False,False,True,False,incarrest,------.-(a)
2318556,56.0,black,male,True,False,False,False,True,True,incarrest,------(f)
2318562,28.0,black,male,False,False,True,False,True,True,cons,------(a)
2318563,28.0,white,female,True,False,False,False,True,False,incarrest,------(b)
2318579,31.0,white,male,True,False,False,True,True,True,cons,------(b)
2318590,27.0,white,male,False,True,False,False,True,True,incarrest,------(a-)
2318591,55.0,black,male,False,True,False,False,True,True,incarrest,------(f)
2318592,67.0,white,female,False,True,False,False,True,True,incarrest,------(a)
2318593,44.0,black,male,True,False,False,False,True,False,incarrest,------(a)
2318595,22.0,white,male,False,False,True,False,False,True,cons,-------(c)
2318596,30.0,white,male,False,False,True,False,True,True,cons,------(f)
2318597,21.0,black,male,False,True,False,False,True,True,incarrest,------.-
2318598,22.0,white,male,False,False,False,False,True,True,incarrest,------(c)
2318599,27.0,white,female,False,True,False,False,True,True,incarrest,------.-
2318602,50.0,asian/pacific islander,female,False,False,False,False,True,True,incarrest,------(a-)
2318603,38.0,black,female,False,True,False,False,True,True,other,------(g)
2318604,35.0,black,male,True,False,False,True,True,False,incarrest,------(c)
2318605,20.0,white,male,False,False,True,False,True,True,cons,------(a)
2318606,42.0,black,male,True,False,False,False,True,True,incarrest,--*
2318607,31.0,hispanic,male,False,True,False,False,True,True,incarrest,------(g)
